,question,entity,easting,northing,wikipedia
42,https://id.parliament.uk/fPK8DVBG,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
43,https://id.parliament.uk/1p81uoAu,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
44,https://id.parliament.uk/4mfU6DyO,Office_for_National_Statistics,328820.179859686,185811.595714857,https://en.wikipedia.org/wiki/Office_for_National_Statistics
45,https://id.parliament.uk/nvEC3pNC,North_East_England,408414.210557617,567277.265343636,https://en.wikipedia.org/wiki/North_East_England
46,https://id.parliament.uk/6ypXKntY,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
47,https://id.parliament.uk/AHek68rB,"St_Helens,_Merseyside",351215.61908277,395520.255938046,"https://en.wikipedia.org/wiki/St_Helens,_Merseyside"
48,https://id.parliament.uk/TorfARuW,Falmouth_Docks,181810.541746559,32498.1202032873,https://en.wikipedia.org/wiki/Falmouth_Docks
49,https://id.parliament.uk/ZziOzdcf,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
50,https://id.parliament.uk/uveQRpZH,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
51,https://id.parliament.uk/waFhfFjm,Kingston_upon_Thames,518364.153420549,169291.28766599,https://en.wikipedia.org/wiki/Kingston_upon_Thames
52,https://id.parliament.uk/waFhfFjm,Hessle,503563.932408014,426418.450702161,https://en.wikipedia.org/wiki/Hessle
53,https://id.parliament.uk/PB27Yjqp,National_Audit_Office_(United_Kingdom),528636.731140711,178585.424107546,https://en.wikipedia.org/wiki/National_Audit_Office_(United_Kingdom)
54,https://id.parliament.uk/SSlVsOjl,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
55,https://id.parliament.uk/Ha2S2Cbf,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
56,https://id.parliament.uk/mUKFfbq7,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
57,https://id.parliament.uk/XUZDPLL0,West_Yorkshire,422078.707592887,428232.624283501,https://en.wikipedia.org/wiki/West_Yorkshire
58,https://id.parliament.uk/bWIKZkKc,Falmouth_Docks,181810.541746559,32498.1202032873,https://en.wikipedia.org/wiki/Falmouth_Docks
59,https://id.parliament.uk/iMnixzIb,Basildon,572624.358552501,189730.544528159,https://en.wikipedia.org/wiki/Basildon
60,https://id.parliament.uk/iMnixzIb,Billericay,567487.349948146,194901.403725236,https://en.wikipedia.org/wiki/Billericay
61,https://id.parliament.uk/m3miXXSz,Leith,327090.168574866,676953.188622388,https://en.wikipedia.org/wiki/Leith
62,https://id.parliament.uk/ZVsHkYqb,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
63,https://id.parliament.uk/nEkZ01lJ,Leith,327090.168574866,676953.188622388,https://en.wikipedia.org/wiki/Leith
64,https://id.parliament.uk/kuNURPzN,Office_for_National_Statistics,328820.179859686,185811.595714857,https://en.wikipedia.org/wiki/Office_for_National_Statistics
65,https://id.parliament.uk/nRmq5y0u,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
66,https://id.parliament.uk/E2BiBxZr,Centre_for_Policy_Studies,530026.178602917,179122.610195153,https://en.wikipedia.org/wiki/Centre_for_Policy_Studies
67,https://id.parliament.uk/TnSDM4Eo,Defence_Equipment_and_Support,361284.905474404,178411.173987802,https://en.wikipedia.org/wiki/Defence_Equipment_and_Support
68,https://id.parliament.uk/XLehsST6,Humber,538740.556827834,407153.441365091,https://en.wikipedia.org/wiki/Humber
69,https://id.parliament.uk/MF7Ms4yS,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
70,https://id.parliament.uk/nEAYs4o4,Falmouth_Docks,181810.541746559,32498.1202032873,https://en.wikipedia.org/wiki/Falmouth_Docks
71,https://id.parliament.uk/c2rsvYAC,Great_Britain,400097.642679143,455996.50366397,https://en.wikipedia.org/wiki/Great_Britain
72,https://id.parliament.uk/jh4Omu4K,North_East_England,408414.210557617,567277.265343636,https://en.wikipedia.org/wiki/North_East_England
73,https://id.parliament.uk/HwedzizI,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
74,https://id.parliament.uk/Aejyrp4p,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
75,https://id.parliament.uk/uc5XSGSc,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
76,https://id.parliament.uk/oj9w8zlk,Romsey,435429.086161626,121187.088285492,https://en.wikipedia.org/wiki/Romsey
77,https://id.parliament.uk/oj9w8zlk,Hampshire,448629.982316704,128912.269203592,https://en.wikipedia.org/wiki/Hampshire
78,https://id.parliament.uk/i61P20i8,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
79,https://id.parliament.uk/d0o8mthk,Disclosure_and_Barring_Service,334334.691669584,390566.065530843,https://en.wikipedia.org/wiki/Disclosure_and_Barring_Service
80,https://id.parliament.uk/1laNkW68,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
81,https://id.parliament.uk/MMfPKybJ,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
82,https://id.parliament.uk/Rx4yENAF,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
83,https://id.parliament.uk/xGowwbDn,Ofwat,406984.265045655,286490.438095365,https://en.wikipedia.org/wiki/Ofwat
84,https://id.parliament.uk/G30m7xwX,Ofcom,532282.635983931,180493.890646352,https://en.wikipedia.org/wiki/Ofcom
85,https://id.parliament.uk/WciPDwww,River_Tees,455114.463816201,528466.39069193,https://en.wikipedia.org/wiki/River_Tees
86,https://id.parliament.uk/YT7IFrwk,Teesside,452603.363418022,521824.963372233,https://en.wikipedia.org/wiki/Teesside
87,https://id.parliament.uk/KYf82B4m,River_Tees,455114.463816201,528466.39069193,https://en.wikipedia.org/wiki/River_Tees
88,https://id.parliament.uk/9dkyNT3K,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
89,https://id.parliament.uk/duQ2cE3V,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
90,https://id.parliament.uk/yuA1E6B8,Great_Britain,400097.642679143,455996.50366397,https://en.wikipedia.org/wiki/Great_Britain
91,https://id.parliament.uk/PErldHBW,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
